Perfil_N;Pico_1_detrend;Pico_2_detrend;Media_Z_detrend;MPD_Perfil
57;0.401568;0.247283;-0.000000;0.324425
58;0.317198;0.192279;-0.000000;0.254738
59;0.329471;0.199988;-0.000000;0.264729
60;0.333515;0.179044;-0.000000;0.256279
61;0.321903;0.158957;0.000000;0.240430
62;0.291824;0.155428;0.000000;0.223626
63;0.267298;0.243421;0.000000;0.255359
64;0.239162;0.256576;-0.000000;0.247869
65;0.236700;0.214002;-0.000000;0.225351
66;0.250494;0.225598;-0.000000;0.238046
67;0.242772;0.243875;-0.000000;0.243323
68;0.294997;0.244707;-0.000000;0.269852
69;0.289818;0.255309;0.000000;0.272564
70;0.243269;0.253651;0.000000;0.248460
71;0.242526;0.257861;0.000000;0.250194
72;0.258922;0.257330;0.000000;0.258126
73;0.296037;0.273527;0.000000;0.284782
74;0.310416;0.266560;0.000000;0.288488
75;0.276468;0.216969;-0.000000;0.246718
76;0.282383;0.290657;0.000000;0.286520
77;0.256798;0.293350;-0.000000;0.275074
78;0.304478;0.271455;0.000000;0.287966
79;0.311323;0.272265;-0.000000;0.291794
80;0.286019;0.278663;-0.000000;0.282341
81;0.335988;0.298811;0.000000;0.317400
82;0.328706;0.325940;0.000000;0.327323
83;0.372844;0.282424;-0.000000;0.327634
84;0.291731;0.290724;-0.000000;0.291227
85;0.321853;0.327509;-0.000000;0.324681
86;0.322889;0.306242;0.000000;0.314566
87;0.290290;0.371730;-0.000000;0.331010
88;0.262177;0.375729;-0.000000;0.318953
89;0.257022;0.379755;0.000000;0.318388
90;0.259990;0.376558;-0.000000;0.318274
91;0.350549;0.403355;-0.000000;0.376952
92;0.363184;0.428203;0.000000;0.395694
93;0.362502;0.389885;-0.000000;0.376194
94;0.282627;0.407420;0.000000;0.345023
95;0.246940;0.367575;-0.000000;0.307258
96;0.315330;0.420417;0.000000;0.367874
97;0.278888;0.395578;0.000000;0.337233
98;0.316329;0.408355;0.000000;0.362342
99;0.369867;0.423645;-0.000000;0.396756
100;0.369349;0.423279;0.000000;0.396314
101;0.406009;0.410531;0.000000;0.408270
102;0.422156;0.464554;-0.000000;0.443355
103;0.453794;0.442307;0.000000;0.448050
104;0.446075;0.416562;-0.000000;0.431318
105;0.452643;0.434110;-0.000000;0.443376
106;0.485100;0.369362;0.000000;0.427231
107;0.480012;0.320581;-0.000000;0.400296
108;0.371974;0.329044;-0.000000;0.350509
109;0.356393;0.354496;0.000000;0.355445
110;0.358184;0.447379;-0.000000;0.402781
111;0.362025;0.472545;0.000000;0.417285
112;0.297489;0.359764;-0.000000;0.328626
113;0.417395;0.324488;-0.000000;0.370942
114;0.438362;0.371872;0.000000;0.405117
115;0.365755;0.375817;-0.000000;0.370786
116;0.366149;0.358965;-0.000000;0.362557
117;0.415690;0.365161;-0.000000;0.390426
118;0.383717;0.374177;-0.000000;0.378947
119;0.298992;0.393946;-0.000000;0.346469
120;0.355945;0.356913;-0.000000;0.356429
121;0.422322;0.340997;0.000000;0.381660
122;0.446385;0.373897;-0.000000;0.410141
123;0.356885;0.352465;-0.000000;0.354675
124;0.419164;0.326535;-0.000000;0.372849
125;0.418118;0.359840;-0.000000;0.388979
126;0.332074;0.384471;-0.000000;0.358273
127;0.286899;0.352877;0.000000;0.319888
128;0.303452;0.250563;-0.000000;0.277008
129;0.321065;0.312626;-0.000000;0.316845
130;0.281628;0.301481;-0.000000;0.291554
131;0.381744;0.250798;0.000000;0.316271
132;0.385635;0.263119;-0.000000;0.324377
133;0.412223;0.299840;0.000000;0.356031
134;0.362312;0.359114;0.000000;0.360713
135;0.382353;0.390430;-0.000000;0.386392
136;0.419904;0.408990;0.000000;0.414447
137;0.429393;0.469031;0.000000;0.449212
138;0.426797;0.502194;-0.000000;0.464495
139;0.444952;0.567643;0.000000;0.506298
140;0.521243;0.610742;-0.000000;0.565992
141;0.545851;0.590386;-0.000000;0.568119
142;0.561728;0.578382;-0.000000;0.570055
143;0.580615;0.628878;-0.000000;0.604747
144;0.590335;0.622777;-0.000000;0.606556
145;0.538882;0.597845;0.000000;0.568363
146;0.537125;0.563802;0.000000;0.550464
147;0.560166;0.540097;-0.000000;0.550132
148;0.583070;0.512867;0.000000;0.547969
149;0.526102;0.442041;0.000000;0.484072
150;0.447511;0.486100;-0.000000;0.466805
151;0.442002;0.438314;0.000000;0.440158
152;0.447955;0.455164;-0.000000;0.451559
153;0.440620;0.437463;0.000000;0.439042
154;0.456052;0.434599;0.000000;0.445326
155;0.484996;0.452766;-0.000000;0.468881
156;0.451701;0.451958;0.000000;0.451829
157;0.444190;0.495920;-0.000000;0.470055
